"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
24675,"Staff Research Engineer","Amsterdam, Netherlands","Full-time","177283.0","2023-06-21 22:25:43","ServiceNow"
155094,"Data Architect","Machelen, Belgium","Full-time","165000.0","2023-07-26 17:12:05","Devoteam"
88304,"Data Architect","Zaventem, Belgium","Full-time","165000.0","2023-07-12 07:50:13","Devoteam"
280829,"Data Architect","Machelen, Belgium","Full-time","165000.0","2023-08-03 15:29:20","Devoteam"
53650,"Data Architect","Brussels, Belgium","Full-time","165000.0","2023-01-18 06:27:33","Blue Harvest"
539907,"Data Architect","Anderlecht, Belgium","Full-time","163782.0","2023-06-22 17:55:14","Ypto"
1719883,"Data Architect - Sustainability","Netherlands","Full-time","155000.0","2023-12-21 13:38:35","LyondellBasell"
1051496,"Analytics Engineer (L5) - Promotional Media - EMEA","Amsterdam, Netherlands","Full-time","147500.0","2023-07-13 18:16:22","Netflix"
348471,"Data Analyst, Reporting","Amsterdam, Netherlands","Full-time","111202.0","2023-01-02 08:29:05","Adyen"
250812,"C002927 Data Analyst (NS) - MON 17 Jul","Braine-l'Alleud, Belgium","Full-time","111175.0","2023-07-10 16:54:56","EMW, Inc."
